fid,x,y
"783",126.2375665638,33.2371780925
"784",126.5409221921,33.4746252460
"785",126.4680999999,33.4858099998
"786",126.4690021698,33.4853811598
"787",126.4398311521,33.4941535853
"788",126.6315458790,33.2993722652
"789",126.5824105346,33.2446210451
"790",126.5274478518,33.4981655448
"791",126.6315458790,33.2993722652
"792",126.2168444137,33.3771861087
"793",126.4889999999,33.4889400004
"794",126.8824128829,33.4693644229
"795",126.5618999997,33.5185800001
"796",126.7939428782,33.5332026774
"797",126.9096058308,33.4779137334
"798",126.9049021750,33.4740419573
"799",126.8326652670,33.3217013622
"800",126.6498530398,33.2711312677
"801",126.3525999999,33.3111199998
"802",126.4296000001,33.4513400004
"803",126.2968820561,33.4260875331
"804",126.5639028838,33.5022917675
"805",126.8662067516,33.5152009785
"806",126.9654989997,33.4982986002
"807",126.2189484306,33.3488494686
"808",126.2189484306,33.3488494686
"809",126.3155500004,33.4441679999
"810",126.5763400002,33.4665760001
"811",126.5853000004,33.5229700004
"812",126.5022000002,33.5129700003
"813",126.6687999995,33.5437900000
"814",126.5676001532,33.5139667164
"815",126.2613000005,33.4146700004
"816",126.5675737239,33.2546525590
"817",126.7684575021,33.3748022209
"818",126.7234918413,33.2820664753
"819",126.4289178773,33.4560702704
"820",126.6162814699,33.2567133004
"821",126.6162814699,33.2567133004
