acdnt_cause,loc_info_x,loc_info_y
dog,169059.32,55457.6
dog,131695.45,41329.5
dog,157217.32,48802.23
dog,158783.32,24800.91
dog,127926.96,23094.56
dog,160567.24,53175.38
dog,152388.65,47309.92
dog,157390.56,52890.18
dog,131932.44,41228.11
dog,191616.68,46293.29
dog,130234.15,24442.4
dog,167164.37,55412.73
dog,128995.5,35282.79
dog,175015.82,28329.78
dog,131073.79,24913.71
dog,133111.27,39046.33
dog,159796.8394,22726.9479
dog,154011.94,23880.08
dog,184645.5,31843.89
dog,156706.17,51082.38
dog,176721.72,56791.88
dog,144569.02,44315.28
dog,154282.88,22960.41
dog,157481.38,49150.3
dog,157112.85,47883.65
dog,135150.43,23210.96
dog,184514.3632,31363.0498
dog,176899.91,56803.74
dog,131667.71,42115.9
dog,137495.62,23747.36
dog,159729.77,22747.84
dog,164797.31,54530.47
dog,163186.2074,21958.2393
dog,163186.2074,21958.2393
dog,193639.39,42460.11
dog,123509.02,29260.47
dog,151984.71,23490.79
dog,159942.08,23326.33
dog,164657.33,24251.59
dog,162005.2052,22629.415
dog,152280.79,47129.62
dog,152644.68,48142.81
dog,183885.69,31781.5
dog,193601.44,47320.74
dog,157138.9861,51775.7762
dog,157138.9861,51775.7762
dog,130943.4,40412.63
dog,156540.1,52434.15
dog,159217.6926,26799.7352
dog,162785.17,28385.58
dog,154544.1175,49225.3232
dog,168293.65,55218.65
dog,135858.32,44735.91
dog,157167.68,50702.66
dog,155241.21,51683.95
dog,131074.13,24924.28
dog,169907.2,25873.7
dog,156529.02,50777.99
dog,153978.35,50122.97
dog,154540.81,50501.49
dog,159575.73,48257.68
dog,164315.6306,23529.272
dog,154707.95,24043.55
dog,152072.1945,46787.438
dog,156024.94,48148.62
dog,183504.91,54596.93
dog,153906.41,21190.67
dog,131073.14,41114.24
dog,154305.8454,49985.2669
dog,157682.12,50673.34
dog,160344.84,47921.01
dog,176670.19,56755.61
dog,176670.19,56755.61
dog,131933.54,41230.77
dog,169295.0463,55467.2146
dog,168554.53,25702.71
dog,164789.16,53324.69
dog,129331.59,39075.72
dog,133515.98,27938.46
dog,133515.98,27938.46
dog,133515.98,27938.46
dog,189535.68,52775.35
dog,191261.08,39058.81
dog,171887.57,56136.27
dog,161345.3491,53413.9819
dog,166292.66,27808.84
dog,145108.85,49027.91
dog,156545.91,50676.96
dog,157256.1912,50966.6705
dog,161899.81,51643.03
dog,155238.94,51686.86
dog,156732.09,50851.75
dog,135949.71,41898.42
dog,156555.2939,49445.8025
dog,176968.76,48678.22
dog,181326.54,29199.54
dog,154923.0396,48835.5469
dog,159420.3068,48517.1611
dog,153711.58,48996.37
dog,156907.6073,51979.7859
dog,157738.37,48992.61
dog,156918.87,52442.49
dog,160576.45,23679.2
dog,180599.1,37872.93
dog,180599.1,37872.93
dog,144410.3427,48731.6853
dog,176719.7913,57146.7876
dog,130414.35,40225.94
dog,161038.39,52972.74
dog,192637.43,44583.65
dog,141814.49,29211.6
dog,156806.6,47759.06
dog,174324.04,49143.25
dog,171313.65,29596.92
dog,152112.89,49435.82
dog,190579.24,47835.57
dog,124979.5424,26119.8718
dog,192678.89,44647.03
dog,158164.78,50200.27
dog,150948.91,48636.3
dog,145156.55,23872.64
dog,144248.932,23866.1074
dog,144248.932,23866.1074
dog,155835.3237,51238.0087
dog,172083.0844,56146.4574
dog,154951.5658,50943.8836
dog,146923.6665,43318.2659
dog,184004.27,54928.21
dog,156887.81,51600.3
dog,158905.0025,49738.3126
dog,158833.6111,52608.0339
dog,131127.13,40477.97
dog,129103.18,39121.48
dog,164723.24,50977.66
dog,164723.24,50977.66
dog,128587.5502,38270.4376
dog,161253.59,23566.99
dog,161253.59,23566.99
